Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2025-01-02,Patient Payment - OPD Cash,RCP-100423,,1250.00,251250.00,Patient Revenue,DEPOSIT
2025-01-03,BlueCross Insurance Reimbursement,INS-BC-78231,,18450.00,269700.00,Insurance Revenue,DEPOSIT
2025-01-03,Medical Supplies - MedLine Kenya,PO-2025-001,42300.00,,227400.00,Medical Supplies,WITHDRAWAL
2025-01-04,Staff Salaries - January Advance,SAL-JAN-ADV,85000.00,,142400.00,Salaries,WITHDRAWAL
2025-01-05,Pharmacy Sales - Daily Float,RCP-PHARM-001,,6780.50,149180.50,Pharmacy Revenue,DEPOSIT
2025-01-06,NHIF Reimbursement Batch 001,NHIF-JAN-01,,32400.00,181580.50,Insurance Revenue,DEPOSIT
2025-01-06,Kenya Power Utility Bill - December,KPLC-DEC2024,18750.00,,162830.50,Utilities,WITHDRAWAL
2025-01-07,Lab Revenue - Pathology Tests,LAB-RCP-001,,4320.00,167150.50,Laboratory Revenue,DEPOSIT
2025-01-07,Office Rent - January 2025,RENT-JAN-2025,55000.00,,112150.50,Rent,WITHDRAWAL
2025-01-08,Patient Payment - OPD Cash,RCP-100424,,980.00,113130.50,Patient Revenue,DEPOSIT
2025-01-08,Aga Khan Hospital Referral Income,REF-AKH-001,,7200.00,120330.50,Patient Revenue,DEPOSIT
2025-01-09,Biomedical Equipment Maintenance,MAINT-2025-01,12500.00,,107830.50,Maintenance,WITHDRAWAL
2025-01-09,Pharmacy Restock - GlaxoSmithKline,PO-GSK-001,28900.00,,78930.50,Medical Supplies,WITHDRAWAL
2025-01-10,AAR Insurance Reimbursement,INS-AAR-4521,,22100.00,101030.50,Insurance Revenue,DEPOSIT
2025-01-10,Lab Revenue - Radiology and Imaging,LAB-RCP-002,,8750.00,109780.50,Laboratory Revenue,DEPOSIT
2025-01-11,Bank Charges - Monthly Service Fee,CHG-KCB-JAN,1200.00,,108580.50,Bank Charges,WITHDRAWAL
2025-01-13,Patient Payment - IPD Discharge,RCP-IPD-001,,45600.00,154180.50,Patient Revenue,DEPOSIT
2025-01-13,Jubilee Health Insurance Claim,INS-JUB-3312,,17800.00,171980.50,Insurance Revenue,DEPOSIT
2025-01-14,Medical Waste Disposal - Veolia,INV-VEO-JAN,4800.00,,167180.50,Maintenance,WITHDRAWAL
2025-01-14,Pharmacy Sales - Daily Float,RCP-PHARM-002,,7910.00,175090.50,Pharmacy Revenue,DEPOSIT
2025-01-15,Staff Salaries - January Main Run,SAL-JAN-2025,180000.00,,-4909.50,Salaries,WITHDRAWAL
2025-01-15,Fund Transfer In - HQ Account,TRF-HQ-001,,200000.00,195090.50,Transfer,TRANSFER
