Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2026-01-08,Salary Payments - Staff,REF1000,48133.13,0.00,201866.87,Salaries,WITHDRAWAL
2026-02-12,Equipment Loan Payment,REF1001,17002.55,0.00,184864.32,Equipment Payments,WITHDRAWAL
2026-02-19,Lab Revenue,REF1002,0.00,13817.77,198682.09,Lab Revenue,DEPOSIT
2026-02-22,Software Subscription - HMS,REF1003,2308.93,0.00,196373.16,Software Subscriptions,WITHDRAWAL
2026-02-17,Insurance Reimbursement - NHIF,REF1004,0.00,15054.40,211427.56,Insurance Reimbursements,DEPOSIT
2026-01-30,Utility Bill - Electricity,REF1005,2901.86,0.00,208525.70,Utilities,WITHDRAWAL
2026-03-03,Transfer to Savings,REF1006,19652.06,0.00,188873.64,Transfers,TRANSFER
2025-11-05,Patient Payment - OPD,REF1007,0.00,15701.13,204574.77,Patient Payments,DEPOSIT
2025-12-12,Software Subscription - HMS,REF1008,2494.14,0.00,202080.63,Software Subscriptions,WITHDRAWAL
2026-03-23,Equipment Loan Payment,REF1009,18512.27,0.00,183568.36,Equipment Payments,WITHDRAWAL
2025-11-04,Utility Bill - Electricity,REF1010,4590.53,0.00,178977.83,Utilities,WITHDRAWAL
2025-12-10,Software Subscription - HMS,REF1011,2229.61,0.00,176748.22,Software Subscriptions,WITHDRAWAL
2026-02-08,Software Subscription - HMS,REF1012,2593.94,0.00,174154.28,Software Subscriptions,WITHDRAWAL
2025-11-08,Utility Bill - Electricity,REF1013,4168.45,0.00,169985.83,Utilities,WITHDRAWAL
2026-01-12,Lab Revenue,REF1014,0.00,14704.18,184690.01,Lab Revenue,DEPOSIT
2026-03-09,Salary Payments - Staff,REF1015,42372.28,0.00,142317.73,Salaries,WITHDRAWAL
2025-12-01,Lab Revenue,REF1016,0.00,9606.28,151924.01,Lab Revenue,DEPOSIT
2026-01-12,Salary Payments - Staff,REF1017,63351.21,0.00,88572.80,Salaries,WITHDRAWAL
2026-03-02,Tax Payment - KRA,REF1018,18905.09,0.00,69667.71,Tax Payments,WITHDRAWAL
2026-02-09,Bank Charges,REF1019,352.49,0.00,69315.22,Bank Charges,WITHDRAWAL
2026-02-02,Utility Bill - Electricity,REF1020,2412.55,0.00,66902.67,Utilities,WITHDRAWAL
2025-12-10,Salary Payments - Staff,REF1021,40129.15,0.00,26773.52,Salaries,WITHDRAWAL
2025-11-16,Maintenance - Equipment,REF1022,3418.97,0.00,23354.55,Maintenance,WITHDRAWAL
2026-03-01,Lab Revenue,REF1023,0.00,10194.52,33549.07,Lab Revenue,DEPOSIT
2025-11-18,Bank Charges,REF1024,606.40,0.00,32942.67,Bank Charges,WITHDRAWAL
2026-02-04,Equipment Loan Payment,REF1025,18761.12,0.00,14181.55,Equipment Payments,WITHDRAWAL
2025-12-13,Lab Revenue,REF1026,0.00,17043.13,31224.68,Lab Revenue,DEPOSIT
2026-01-26,Patient Payment - OPD,REF1027,0.00,9341.43,40566.11,Patient Payments,DEPOSIT
2025-12-31,Tax Payment - KRA,REF1028,29003.12,0.00,11562.99,Tax Payments,WITHDRAWAL
2026-02-10,Transfer to Savings,REF1029,15022.19,0.00,-3459.20,Transfers,TRANSFER
2025-12-11,Insurance Reimbursement - NHIF,REF1030,0.00,29662.44,26203.24,Insurance Reimbursements,DEPOSIT
2026-01-08,Insurance Reimbursement - NHIF,REF1031,0.00,29959.91,56163.15,Insurance Reimbursements,DEPOSIT
2026-01-15,Utility Bill - Electricity,REF1032,4674.52,0.00,51488.63,Utilities,WITHDRAWAL
2025-11-09,Equipment Loan Payment,REF1033,17287.85,0.00,34200.78,Equipment Payments,WITHDRAWAL
2025-12-06,Patient Payment - OPD,REF1034,0.00,15143.87,49344.65,Patient Payments,DEPOSIT
2025-12-13,Utility Bill - Electricity,REF1035,4827.73,0.00,44516.92,Utilities,WITHDRAWAL
2026-03-31,Tax Payment - KRA,REF1036,17085.91,0.00,27431.01,Tax Payments,WITHDRAWAL
2026-03-23,Software Subscription - HMS,REF1037,2893.80,0.00,24537.21,Software Subscriptions,WITHDRAWAL
2025-12-23,Pharmacy Sales,REF1038,0.00,7655.01,32192.22,Pharmacy Sales,DEPOSIT
2025-12-13,Maintenance - Equipment,REF1039,7689.08,0.00,24503.14,Maintenance,WITHDRAWAL
2026-02-15,Transfer to Savings,REF1040,23780.79,0.00,722.35,Transfers,TRANSFER
2026-02-20,Maintenance - Equipment,REF1041,6285.20,0.00,-5562.85,Maintenance,WITHDRAWAL
2025-12-04,Insurance Reimbursement - NHIF,REF1042,0.00,17816.33,12253.48,Insurance Reimbursements,DEPOSIT
2025-11-21,Lab Revenue,REF1043,0.00,14077.84,26331.32,Lab Revenue,DEPOSIT
