Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2022-03-01,Urgent Care Visit,TXN3000000,,2896.74,752896.74,Patient Revenue,DEPOSIT
2022-03-02,Physical Therapy Session,EFT3000001,,1119.34,754016.08,Patient Revenue,DEPOSIT
2022-03-03,Imaging Center Payment,INV3000002,,3127.48,757143.56,Patient Revenue,DEPOSIT
2022-03-04,Reimbursement - Humana Plus,ACH3000003,,18808.86,775952.42,Insurance Revenue,DEPOSIT
2022-03-09,Over-the-Counter Sales,CHK3000004,,5042.16,780994.58,Pharmacy Revenue,DEPOSIT
2022-03-10,Bedside Monitor System,REF3000005,26825.08,,754169.50,Equipment,WITHDRAWAL
2022-03-12,Physical Therapy Session,ACH3000006,,3336.69,757506.19,Patient Revenue,DEPOSIT
2022-03-15,Drug Administration Fee,TXN3000007,,3043.66,760549.85,Patient Revenue,DEPOSIT
2022-03-19,State Medicaid Program,EFT3000008,,16243.62,776793.47,Insurance Revenue,DEPOSIT
2022-03-20,Drape and Covering Supplies,TXN3000009,2500.61,,774292.86,Medical Supplies,WITHDRAWAL
2022-03-22,Foundation and Structure,BAL3000010,2282.75,,772010.11,Maintenance,WITHDRAWAL
2022-03-25,Reimbursement - Humana Plus,DEP3000011,,5990.66,778000.77,Insurance Revenue,DEPOSIT
2022-03-26,Imaging Center Payment,CHK3000012,,2882.66,780883.43,Patient Revenue,DEPOSIT
2022-03-27,Advanced Ultrasound Machine,REF3000013,16799.46,,764083.97,Equipment,WITHDRAWAL
2022-03-28,Specialty Drug Sales,REF3000014,,4636.71,768720.68,Pharmacy Revenue,DEPOSIT
2022-04-02,Imaging Center Payment,CHK3000015,,2155.90,770876.58,Patient Revenue,DEPOSIT
2022-04-04,Medicare Part B Claim,EFT3000016,,13449.51,784326.09,Insurance Revenue,DEPOSIT
2022-04-10,Reimbursement - Blue Cross Blue Shield,REF3000017,,17584.78,801910.87,Insurance Revenue,DEPOSIT
2022-04-11,Medicare Part B Claim,WIR3000018,,14219.84,816130.71,Insurance Revenue,DEPOSIT
2022-04-12,Administrative Personnel,TXN3000019,11863.71,,804267.00,Salary Expense,WITHDRAWAL
2022-04-14,Operating Room Bill,EFT3000020,,3182.81,807449.81,Patient Revenue,DEPOSIT
2022-04-15,Over-the-Counter Sales,WIR3000021,,4629.07,812078.88,Pharmacy Revenue,DEPOSIT
2022-04-16,Medical Doctor Compensation,CHK3000022,17465.67,,794613.21,Salary Expense,WITHDRAWAL
2022-04-18,Patient Balance Settlement,ACH3000023,,813.12,795426.33,Patient Revenue,DEPOSIT
2022-04-21,Medical Doctor Compensation,TXN3000024,11880.99,,783545.34,Salary Expense,WITHDRAWAL
2022-04-26,Protective Gear and Clothing,EFT3000025,9956.24,,773589.10,Medical Supplies,WITHDRAWAL
2022-04-27,Reimbursement - Blue Cross Blue Shield,EFT3000026,,12034.39,785623.49,Insurance Revenue,DEPOSIT
2022-04-30,Advanced Genomic Testing,BAL3000027,,1928.24,787551.73,Lab Revenue,DEPOSIT
2022-05-01,Medical Doctor Compensation,ACH3000028,13419.20,,774132.53,Salary Expense,WITHDRAWAL
2022-05-05,State Medicaid Program,WIR3000029,,21431.76,795564.29,Insurance Revenue,DEPOSIT
