Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2023-06-15,Patient Monitoring Equipment,INV2000000,9344.50,,490655.50,Medical Supplies,WITHDRAWAL
2023-06-16,Claim Reimbursement - BCBS,REF2000001,,5762.01,496417.51,Insurance Revenue,DEPOSIT
2023-06-17,Office Suite License,EFT2000002,2384.28,,494033.23,Software Expense,WITHDRAWAL
2023-06-19,Emergency Department Bill,TXN2000003,,430.74,494463.97,Patient Revenue,DEPOSIT
2023-06-21,Claim Reimbursement - United,TXN2000004,,17935.69,512399.66,Insurance Revenue,DEPOSIT
2023-06-23,Claim Reimbursement - BCBS,EFT2000005,,18357.33,530756.99,Insurance Revenue,DEPOSIT
2023-06-25,Pharmacy Copay,ACH2000006,,1246.97,532003.96,Patient Revenue,DEPOSIT
2023-06-26,Hormone Level Testing,TXN2000007,,3469.93,535473.89,Lab Revenue,DEPOSIT
2023-06-27,Medicare Reimbursement - Part B,ACH2000008,,16135.51,551609.40,Insurance Revenue,DEPOSIT
2023-06-28,Injectable Medication Sales,TXN2000009,,183.98,551793.38,Pharmacy Revenue,DEPOSIT
2023-06-29,Diagnostic Equipment Lease,WIR2000010,9729.18,,542064.20,Rent Expense,WITHDRAWAL
2023-07-01,Medicaid State Reimbursement,INV2000011,,18902.31,560966.51,Insurance Revenue,DEPOSIT
2023-07-02,Immunization Fee,CHK2000012,,26.04,560992.55,Patient Revenue,DEPOSIT
2023-07-05,Claim Reimbursement - BCBS,INV2000013,,16297.70,577290.25,Insurance Revenue,DEPOSIT
2023-07-06,Contingency Fund Deposit,INV2000014,,4318.38,581608.63,Transfer,TRANSFER
2023-07-09,Returned Item Fee,TXN2000015,169.05,,581439.58,Bank Fees,WITHDRAWAL
2023-07-11,Emergency Department Bill,DEP2000016,,2378.92,583818.50,Patient Revenue,DEPOSIT
2023-07-13,Mental Health Coverage Reimbursement,CHK2000017,,1781.03,585599.53,Insurance Revenue,DEPOSIT
2023-07-14,Medicare Reimbursement - Part B,EFT2000018,,12250.84,597850.37,Insurance Revenue,DEPOSIT
2023-07-15,Radiology Services Payment,CHK2000019,,941.64,598792.01,Patient Revenue,DEPOSIT
2023-07-16,Injectable Medication Sales,DEP2000020,,3309.09,602101.10,Pharmacy Revenue,DEPOSIT
2023-07-17,Radiology Services Payment,REF2000021,,531.21,602632.31,Patient Revenue,DEPOSIT
2023-07-18,Administrative Staff Payroll,TXN2000022,16565.19,,586067.12,Salary Expense,WITHDRAWAL
2023-07-21,Specialty Pharma Distribution,DEP2000023,,6278.33,592345.45,Pharmacy Revenue,DEPOSIT
2023-07-22,Housekeeping Payroll,EFT2000024,13955.97,,578389.48,Salary Expense,WITHDRAWAL
2023-07-23,Surgical Procedure Payment,REF2000025,,291.83,578681.31,Patient Revenue,DEPOSIT
2023-07-24,Revenue Cycle Payroll,CHK2000026,13818.29,,564863.02,Salary Expense,WITHDRAWAL
2023-07-25,Sterile Needle and Syringe Stock,TXN2000027,1736.90,,563126.12,Medical Supplies,WITHDRAWAL
2023-07-27,Electric Utility Bill,WIR2000028,3061.12,,560065.00,Utilities,WITHDRAWAL
2023-07-28,Housekeeping Payroll,INV2000029,8672.62,,551392.38,Salary Expense,WITHDRAWAL
2023-07-29,Respiratory Equipment,TXN2000030,9263.20,,542129.18,Medical Supplies,WITHDRAWAL
2023-07-30,Patient Co-pay - Office Visit,INV2000031,,667.58,542796.76,Patient Revenue,DEPOSIT
2023-07-31,Prior Year Tax Settlement,DEP2000032,5925.52,,536871.24,Tax Payment,WITHDRAWAL
2023-08-01,Telephone System Bill,INV2000033,1565.91,,535305.33,Utilities,WITHDRAWAL
2023-08-02,Contractor Medical Personnel,TXN2000034,15832.33,,519473.00,Salary Expense,WITHDRAWAL
2023-08-03,Specialist Consultation,INV2000035,,1821.62,521294.62,Patient Revenue,DEPOSIT
2023-08-04,Specimen Processing Fees,TXN2000036,,3779.79,525074.41,Lab Revenue,DEPOSIT
2023-08-06,Injectable Medication Sales,WIR2000037,,4130.95,529205.36,Pharmacy Revenue,DEPOSIT
2023-08-07,Rehabilitation Services,WIR2000038,,906.37,530111.73,Patient Revenue,DEPOSIT
2023-08-08,Medicare Reimbursement - Part B,EFT2000039,,16794.83,546906.56,Insurance Revenue,DEPOSIT
2023-08-10,Radiology Services Payment,REF2000040,,143.04,547049.60,Patient Revenue,DEPOSIT
2023-08-11,Registered Nurse Payroll,EFT2000041,10871.62,,536177.98,Salary Expense,WITHDRAWAL
2023-08-12,Digital Microscope System,TXN2000042,23552.13,,512625.85,Equipment,WITHDRAWAL
2023-08-15,Suture and Staple Supplies,DEP2000043,970.10,,511655.75,Medical Supplies,WITHDRAWAL
2023-08-16,Lab Work Payment,TXN2000044,,2046.90,513702.65,Patient Revenue,DEPOSIT
2023-08-17,Laboratory Management System,CHK2000045,2812.79,,510889.86,Software Expense,WITHDRAWAL
2023-08-18,Storage Facility Rental,EFT2000046,7990.12,,502899.74,Rent Expense,WITHDRAWAL
2023-08-19,Housekeeping Payroll,ACH2000047,14995.91,,487903.83,Salary Expense,WITHDRAWAL
2023-08-20,Claim Reimbursement - Anthem PPO,TXN2000048,,4146.77,492050.60,Insurance Revenue,DEPOSIT
2023-08-22,HVAC System Maintenance,INV2000049,2887.08,,489163.52,Maintenance,WITHDRAWAL
2023-08-23,Claim Reimbursement - BCBS,INV2000050,,3450.84,492614.36,Insurance Revenue,DEPOSIT
2023-08-24,Respiratory Equipment,INV2000051,7148.04,,485466.32,Medical Supplies,WITHDRAWAL
2023-08-25,Patient Portal License,INV2000052,2666.15,,482800.17,Software Expense,WITHDRAWAL
2023-08-27,Laboratory Management System,REF2000053,1600.37,,481199.80,Software Expense,WITHDRAWAL
2023-08-28,Bacterial Culture Testing,WIR2000054,,1179.09,482378.89,Lab Revenue,DEPOSIT
2023-08-29,Claim Reimbursement - United,WIR2000055,,8967.38,491346.27,Insurance Revenue,DEPOSIT
2023-08-31,Bulk Medication Purchase Resale,DEP2000056,,450.23,491796.50,Pharmacy Revenue,DEPOSIT
2023-09-01,OTC Medication Sales,WIR2000057,,6374.90,498171.40,Pharmacy Revenue,DEPOSIT
2023-09-03,Lab Services - Blood Panel,EFT2000058,,535.44,498706.84,Lab Revenue,DEPOSIT
2023-09-05,Medicaid State Reimbursement,WIR2000059,,15732.50,514439.34,Insurance Revenue,DEPOSIT
2023-09-06,Roof Repair Work,CHK2000060,2902.68,,511536.66,Maintenance,WITHDRAWAL
