Date,Description,Reference,Debit,Credit,Balance,Category,TransactionType
2020-01-01,Electrical Wiring Upgrade,EFT4000000,464129.51,,199535870.49,Maintenance,WITHDRAWAL
2020-01-02,Patient Balance Settlement,WIR4000001,,196581.19,199732451.68,Patient Revenue,DEPOSIT
2020-01-04,Medical Doctor Compensation,REF4000002,1284424.68,,198448027.00,Salary Expense,WITHDRAWAL
2020-01-05,Professional Cleaning Service,TXN4000003,239268.70,,198208758.30,Maintenance,WITHDRAWAL
2020-01-06,Vaccination Administration,BAL4000004,,473290.62,198682048.92,Patient Revenue,DEPOSIT
2020-01-07,Reimbursement - Aetna Health,ACH4000005,,3035833.49,201717882.41,Insurance Revenue,DEPOSIT
2020-01-09,Specialty Drug Sales,DEP4000006,,1244695.50,202962577.91,Pharmacy Revenue,DEPOSIT
2020-01-14,Social Security Tax,WIR4000007,755231.51,,202207346.40,Tax Payment,WITHDRAWAL
2020-01-17,Reimbursement - Humana Plus,INV4000008,,2722045.86,204929392.26,Insurance Revenue,DEPOSIT
2020-01-18,Lift System Maintenance,REF4000009,704081.86,,204225310.40,Maintenance,WITHDRAWAL
2020-01-19,Physical Therapy Session,EFT4000010,,335322.39,204560632.79,Patient Revenue,DEPOSIT
2020-01-22,Information Technology,DEP4000011,608938.35,,203951694.44,Salary Expense,WITHDRAWAL
2020-01-25,Reimbursement - United Healthcare,EFT4000012,,1641049.07,205592743.51,Insurance Revenue,DEPOSIT
2020-01-26,Consultation Fee,CHK4000013,,174580.57,205767324.08,Patient Revenue,DEPOSIT
2020-01-30,Vehicle Fleet Lease,TXN4000014,617052.57,,205150271.51,Rent Expense,WITHDRAWAL
2020-01-31,Consultation Fee,DEP4000015,,274708.63,205424980.14,Patient Revenue,DEPOSIT
2020-02-01,Visiting Specialist Fees,TXN4000016,423375.30,,205001604.84,Salary Expense,WITHDRAWAL
2020-02-04,Pharmaceutical Wholesale Markup,REF4000017,,460612.49,205462217.33,Pharmacy Revenue,DEPOSIT
2020-02-07,Vascular Access Equipment,REF4000018,370950.86,,205091266.47,Medical Supplies,WITHDRAWAL
2020-02-10,Physical Therapy Session,TXN4000019,,142170.83,205233437.30,Patient Revenue,DEPOSIT
2020-02-13,Respiratory Support,CHK4000020,1016264.47,,204217172.83,Medical Supplies,WITHDRAWAL
2020-02-15,MRI Scanner Module,DEP4000021,911940.08,,203305232.75,Equipment,WITHDRAWAL
2020-02-17,Diagnostic Services,EFT4000022,,564146.81,203869379.56,Patient Revenue,DEPOSIT
2020-02-18,Reimbursement - Blue Cross Blue Shield,WIR4000023,,2863459.06,206732838.62,Insurance Revenue,DEPOSIT
2020-02-19,Imaging Equipment Lease,DEP4000024,998361.04,,205734477.58,Rent Expense,WITHDRAWAL
2020-02-20,Water Treatment Services,CHK4000025,539772.58,,205194705.00,Utilities,WITHDRAWAL
2020-02-21,State Medicaid Program,DEP4000026,,2268792.12,207463497.12,Insurance Revenue,DEPOSIT
2020-02-23,Reimbursement - Anthem Select,REF4000027,,3426045.86,210889542.98,Insurance Revenue,DEPOSIT
2020-02-25,State Medicaid Program,WIR4000028,,2623113.47,213512656.45,Insurance Revenue,DEPOSIT
2020-03-04,Reimbursement - Blue Cross Blue Shield,TXN4000029,,3348268.53,216860924.98,Insurance Revenue,DEPOSIT
2020-03-05,Sample Management,WIR4000030,218108.92,,216642816.06,Software Expense,WITHDRAWAL
2020-03-07,Medicare Part B Claim,ACH4000031,,3443951.47,220086767.53,Insurance Revenue,DEPOSIT
2020-03-08,Medication Compounding,EFT4000032,,502664.15,220589431.68,Pharmacy Revenue,DEPOSIT
2020-03-11,Security Incident Response,ACH4000033,231274.15,,220358157.53,Software Expense,WITHDRAWAL
2020-03-15,Nursing Staff Payroll,BAL4000034,1482595.53,,218875562.00,Salary Expense,WITHDRAWAL
2020-03-16,Medical Lab Technician,CHK4000035,573296.25,,218302265.75,Salary Expense,WITHDRAWAL
2020-03-17,Nursing Staff Payroll,TXN4000036,1240722.58,,217061543.17,Salary Expense,WITHDRAWAL
